,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information,degree_title
362,363,DR NOMAN MALIK,National University of Modern Languages,Computer Science,Capital,Assistant Professor,PhD,"Razak School of Engineering and Advanced Technology, Universiti Teknologi Malaysia (UTM)",Malaysia,2015.0,"Human Computer Interaction (HCI), Knowledge Management , Software Project Management, Management Information System (MIS)

",,PhD
383,384,Fahad Tahir,Air University,Computer Science,Capital,Assistant Professor,PhD,Queen Mary University of London,UK,,"Computer Vision, Data Analysis , Pattern Matching, Video Surveillance, Object Tracking and Re-Identification",,PhD
384,385,Sheikh Muhammad Qasim,Air University,Computer Science,Capital,Professor,PhD,University of Illinois,Urbana,,,,PhD
387,388,Omer Ishaq Hassan,Air University,Computer Science,Capital,Assistant Professor,PhD,Uppsala University,Sweden,,Image analysis & Deep learning,,PhD
390,391,Atta ur Rehman Khan,Air University,Computer Science,Capital,Associate Professor,PhD,University of Malaya,Malaysia,,"Cybersecurity, Mobile Cloud Computing, and IoT",,PhD
391,392,Muhammad Shafi,Air University,Computer Science,Capital,Associate Professor,PhD,Loughborough University,UK,,Computer Vision,,PhD
392,393,Shaharyar Kamal,Air University,Computer Science,Capital,Assistant Professor,PhD,Kyung Hee University,South Korea,,"Wireless Networks and Security, 5G and Internet of Things.",,PhD
406,407,Dr. Imran Ahmed Siddqui,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,Paris Descartes University,France,2009.0,,,PhD
407,408,Dr. Muhammad Muzammal,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Leicester,UK,2012.0,"Data Science, e-Learning, Software Engineering, Augmented/Virtual Reality",,PhD
408,409,Dr. Shagufta Henna,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Leicester,UK,2013.0,"Mobile Ad hoc Networks, Wireless Sensor Networks (WSNs), Wireless Body Area Networks, Coverage in WSNs, Software Defined Networking, Massive Machine Type Access in Future Generation Networks, Low Power Wide Area Networks (LPWAN), Adaptive Data Rate in LPWAN, Approximation Algorithms, and NP-hard problems in Wireless Sensor Networks, Wireless Chargeable Sensor Networks",,PhD
411,412,Dr.Arif ur Rehman,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Porto,Portugal,2013.0,"Digital Preservation, Database Preservation, Information Retrieval, Information Systems",,PhD
412,413,Dr. Muhammad Asfand-e-yar,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,Vienna University of Technology,Austria,2011.0,"Semantic Web Technology, Smart Technologies, Digital Right Management Systems",,PhD
414,415,Dr. Sabina Akhtar,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,"Universit� Henri Poincar�, Nancy 1,",France,2012.0,"Distributed Algorithms, Formal Methods, Model Checking",,PhD
415,416,Dr. Muneeb Gohar,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,Kyungpook National University,South Korea,2012.0,,,PhD
421,422,Dr. Waqas Aman,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,"Norwegian University of Science and Technology (NTNU),",Norway,2016.0,"Security in Critical Infrastructures, Privacy, Security in Smart Ecosystems, Application Security, Risk Management, Adaptive Security, Internet of Things(IoT), Big Data Security.",,PhD
424,425,Dr. Kashif Naseer,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,Universiti Technologi,Malaysia,2016.0,,,PhD
437,438,Mr. Talha Naqash,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,PhD,University of Genova,Italy,2017.0,,,PhD
453,454,Prof. Dr. Muhammad Abdul Qadir,Capital University of Science and Technology,Computer Science,Capital,Professor/Dean,PhD,Guildford,UK,1995.0,"Semantic Computing: Semantic Digital Libraries, Ontology evaluation, Ontology mapping and merging, Semantic Cache Query Processing, Semantic Extraction from Multimedia Objects, Semantic Search Engines, Semantic based Learning Systems, Semantic based Query Refinement for WWW, Deep Web Mining Distributed Computing: Networks (IP and Transport Services), Bandwidth Aggregation for Heterogeneous Networks, Fault Tolerance Cryptography and Cryptanalysis, Algorithms, Bioinformatics ",,PhD
454,455,Dr. Nayyer Masood,Capital University of Science and Technology,Computer Science,Capital,Professor/HoD,PhD,University of Bradford,UK,1999.0,"Multidatabase Systems Schema Translation, Schema Evolution, Schema Integration, Data Integration, Data Mining",,PhD
455,456,Dr. Muhammad Tanvir Afzal,Capital University of Science and Technology,Computer Science,Capital,Associate Professor,PhD,Graz University of Technology,Austria,2010.0,Digital Libraries; Web/Text Mining; Semantic Web; Information Visualization,,PhD
456,457,Dr. Muhammad Azhar Iqbal,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,PhD,"Huazhong University of Science and Technology (HUST), Wuhan",China,2012.0,"Wireless Ad Hoc Networks, development and evaluation of Network Coding Aware and Network Coding Based routing protocols suitable to highly dynamic and delay tolerant networks",,PhD
457,458,Dr. Muhammad Aleem,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,PhD,University of Innsbruck,Austria,2012.0,Parallel and distributed computing. Parallel programming environments for multi-/many-core shared and distributed memory parallel computers. Run-time environments and scheduling mechanisms for parallel machines based on multi-cores. Performance analysis of parallel applications.,,PhD
458,459,Dr. Muhammad Arshad  Islam,Capital University of Science and Technology,Computer Science,Capital,Assistant Professor,PhD,University of Konstanz,Germany,2011.0,Routing in Mobile Ad hoc Networks Social Network Analysis Application of Graph Theory,,PhD
476,477,Mutawarra Hussain,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,Dean,PhD,University of Birmingham,UK,,"Medical Image Processing, Pattern Recognition, Natural Language Processing",,PhD
478,479,Anila Usman,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,Controller of Examinations,PhD,Manchester University,UK,,"Numerical Computing, Parallel/Distributed Computing",,PhD
479,480,Javaid Khurshid,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Harbin Institute of Technology,China,,"Artificial Intelligence, Mobile Robots, Multi Robot Systems",,PhD
481,482,Muhammad Hanif Durad,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Beijing Institute of Technology,China,,"Computer Networks and Security, Parallel and Grid Computing, Computer Architecture",,PhD
483,484,Aneela Zameer Jaafery,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,University of Paisley,UK,,"Modeling and Simulation of Physical Systems, Stochastic Optimization, Evolutionary Computing",,PhD
484,485,Irfan ul Haq,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,University of Vienna,Austria,,"Cloud Computing, Internet of Things, Information Security, Web Mining, Cognitive Computer Science, Self Organizing Systems",,PhD
485,486,Tauseef Jamal,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Univ of Porto/Univ of Aveiro Portugal/Uni of Minho,Portugal,,"Ad-Hoc Networks, Wireless Pervasive Systems, Cooperative Networking, Cooperative Sensing and Inference, Self-organized Networked Systems",,PhD
487,488,Naeem Akhtar,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Vienna University of Technology,Austria,,"Pose Tracking, Image Registration and Alignment, Visual Surveillance and Navigation, 3D Reconstruction, Virtual and Augmented Reality",,PhD
488,489,Ghulam Raza,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,University of Konstanz,Germany,,"Automatic lexical acquisition, Computational grammar development, Theoretical linguistics, Parallel corpora development and statistical machine translation",,PhD
489,490,Muhammad Abid,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Tsinghua University,China,,"High performance computing using GPUs, CMPs; Parallel programming using OpenCL and CUDA; Architectures of GPUs/CMPs",,PhD
491,492,Kamran Safdar,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Universit�t Salzburg,Austria,,"Computational geometry, in particular, straight skeletons and Voronoi diagrams; general-purpose computing on graphics processing units (GPGPU); computer graphics and geometric modeling; algorithms and mathematical proofs; parallel and high-performance computing",,PhD
493,494,Fayyaz-ul-Amir Afsar Minhas,Pakistan Institute of Engineering and Applied Sciences,Computer and Information Sciences,Capital,,PhD,Colorado State University,USA,,"Machine Learning (Artificial & Computational Intelligence), Digital Signal Processing, Biomedical signal analysis, Biometrics",,PhD
513,514,Dr.Muhammad Adil Raja,NAML-Mianwali,Computer Science,Punjab,Associate Professor,PhD,University of Limerick,Ireland,2008.0,Real-time Non-intrusive Quality Estimation of VoIP,,PhD
516,517,Noman Javed,NAML-Mianwali,Computer Science,Punjab,Assistant Professor,PhD,University of Orleans,France,,,,PhD
518,519,Dr.Nadeem Ahmad,University of Lahore-PakPattan,Computer Science and IT,Punjab,Head of Department,PhD,Politecnico di Torino,Italy,2014.0,human machine interfaces,,PhD
525,526,Dr. Ibrar Hussain,University of Lahore-PakPattan,Computer Science and IT,Punjab,Associate Professor,PhD,Zhejiang University,China,2014.0,"Human-Computer Interaction, sonification, ubiquitous computing, accessibility, and location-based services",,PhD
622,623,Shafiq Hussain,University of Sahiwal,Computer Science,Punjab,HEC Approved PhD Supervisor,PhD,University of Sunderland,UK,,,,PhD
682,683,Dr. Mohammad Jamil Sawar,Barani Institute of Information and Technology,Computer Science,Punjab,Professor,PhD,University of Leeds,UK,,,,PhD
737,738,Dr. Sumaira Sultan Minhas,Fatima Jinnah Women University,Software Engineering,Punjab,Assistant Professor,PhD,University of Manchester,UK,2016.0,,,PhD
738,739,Aftab Ahmed,FAST(Faisalabad),Computer Science,Punjab,Professor/HoD,PhD,"University of Wales,Aberystwyth",UK,1996.0,"curriculum development, professional ethics; software design architectures; software process modeling and improvement; and software testing and quality assurance.",,PhD
739,740,Hashim Yasin,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,PhD,�University of Bonn,Germany,2016.0,"�vision-based 3D motion retrieval and reconstruction, 3D pose estimation, action recognition, machine learning, motion synthesis and analysis etc.�",,PhD
740,741,Rana Asif Rehman,FAST(Faisalabad),Computer Science,Punjab,Assistant Professor,PhD,�Hongik University,South Korea,2016.0,"Design and development of energy efficient routing protocols,Cross layer architectures,Caching and forwarding schemes for cognitive radio ad hoc networks,named data networking based wireless networks",,PhD
763,764,Ahmad Shabbar Kazmi,University of Central Punjab,Computer Science,Punjab,Head of Department,PhD,�Boston University,USA,1999.0,Neural Networks,,PhD
764,765,Shahid S. Siddiqi,University of Central Punjab,Computer Science,Punjab,Professor,PhD,Brunel University,UK,1994.0,,,PhD
766,767,Shafiq Ur Rahman,University of Central Punjab,Computer Science,Punjab,Associate Professor,PhD,George Washington University,USA,1993.0,"Natural Language Processing (Morphological Analysis, Annotated Corpus building, Lexical resources), Secure Communication on Internet (IPSec) esp. Key Management Issues for Single Source Multicast Groups and Routing in Mobile Ad-Hoc Networks (Unicast, multicast), Lock-Free Data Structures and Urdu fonts ",,PhD
769,770,Adnan N. Qureshi,University of Central Punjab,Computer Science,Punjab,Associate Professor,PhD,�University of Bedfordshire,UK,2015.0,,,PhD
771,772,Shahzad Majeed Tiwana,University of Central Punjab,Computer Science,Punjab,Assistant Professor,PhD,University Of Southern California,USA,2010.0,,,PhD
772,773,Muhammad Humayoun,University of Central Punjab,Computer Science,Punjab,Assistant Professor,PhD,University of Grenoble,France,,NLP,,PhD
773,774,Amir Shahzad,University of Central Punjab,Computer Science,Punjab,Assistant Professor,PhD,Beihang University,China,,"�combinatorics, information theory and signal processing. Specific areas are problem in extremal and probabilistic methods in combinatorics, spectral graph theory, coding for distributed storage, interference channels.",,PhD
887,888,Prof. Dr Syed Mansoor Sarwar,Punjab University College of Information and Technology,Information Technology,Punjab,Principal,PhD, Iowa State University, USA,1988.0,"Operating Systems, Data Structures, Programming Languages",,PhD
888,889,Dr. Muhammad Murtaza Yousaf,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, University of Innsbruck,Austria,2008.0,"Structures, Automata Theory",,PhD
889,890,Dr. Shahzad Sarwar,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,Vienna University of Technology,Austria,2008.0,"Computer Networks, Topics in Internet Research, Optical Communications, Performance Modeling",,PhD
890,891,Dr. Waqar ul Qounain,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,"Vrije University, Amsterdam",Netherland,,"Computational Modelling, Artificial Intelligence, Data Mining and Machine Learning, Multi-Agent Systems",,PhD
891,892,Dr. Imran Farid Khan,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, Columbia University,USA,2012.0,Graph Theory (especially Topological Graph Theory),,PhD
892,893,Dr. Mehvish Irfan Poshni,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, Columbia University,USA,2012.0,Topological graph theory,,PhD
893,894,Dr. Faisal Aslam,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,University of Freiburg, Germany,,"Programming Languages and Compilers, Protocols and Algorithms for Wireless and Wired Networks",,PhD
894,895,Dr. Zubair Nawaz,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, Delft University of Technology,Netherland,2011.0,"Analysis of Algorithms, Advanced Algorithms, High Performance Computing",,PhD
895,896,Dr. Fawaz Bokhari,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, University of Texas at Arlington (UTA),USA,2012.0,"Computer networks, broadband wireless networking, wireless multimedia communication, network deployment and monitoring.",,PhD
896,897,Dr. Faisal Bukhari,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"Computer Vision, Image Processing, Machine Learning, and Statistics",,PhD
897,898,Dr Khurram Shahzad,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,KTH Royal Institute of Technology, Sweden,,"Data Warehousing, Business Process Management and Academic Social Network",,PhD
898,899,Dr. Muhammad Shahid Farid,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, University of Turin,Italy,2015.0,"Image Processing, Computer Vision, Analysis of Algorithms",,PhD
899,900,Dr. Nazar Khan,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, University of Central Florida, USA,2013.0,"Computer Vision, Image Analysis, Machine Learning",,PhD
900,901,Dr. Waheed Iqbal,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"Cloud Computing, Distributed Systems, Machine Learning, Data Mining, Mobile and Web Computing, Scalable Applications and Architectures, Algorithms Analysis, Data Structures, Operating Systems",,PhD
911,912,Javeria Iqbal,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,Saarland University, Germany,,"Online Algorithms, Robotics and Probabilistic Graphical Models, Enterprise Software Development, Software Engineering",,PhD
917,918,Dr.Syed Muhammad Ali,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,University of Central Florida, USA,,"Machine Learning, Image Processing, Computer Vision",,PhD
923,924,Anzar Ahmad,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,Oxford Brookes University,UK,,"Agent Modeling, Intelligent Systems, AI, OOP, OOAD, Software Engineering, SW Architecture Pattern, Fundamentals of Programming Languages",,PhD
935,936,Saima Ali,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,University of Canterbury, New Zealand,,"Computer Networks, Wireless Sensor Networks, Opportunistic Networks, Internet Architecture and Protocols",,PhD
946,947,Asif Mahmood Gilani,FAST(Lahore),Computer Science,Punjab,Professor,PhD,University of Patras,Greece,2002.0,�Imaging especially in the Data Security Issues,,PhD
947,948,Ghalib Asadullah Shah,FAST(Lahore),Computer Science,Punjab,Adjunct Professor,PhD,Middle East Technical University,Turkey,2007.0,,,PhD
948,949,Mehreen Saeed,FAST(Lahore),Computer Science,Punjab,Associate Professor,PhD,University of Bristol,UK,1999.0,"AI, Computer Vision and Machine Learning.",,PhD
949,950,Ali Afzal Malik,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,University of Southern California,USA,2010.0,empirical software engineering and software cost estimation.,,PhD
950,951,Haroon Mahmood,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,Politecnico di Torino,Italy,2014.0,embedded system design with particular emphasis on the design and modeling of reliable and power-efficient solutions.,,PhD
951,952,Irfan Younus,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,KTH Royal Institute of Technology,Sweden,2014.0,"Evolutionary Algorithms, Bioinformatics, Combinatorial Optimization, Search Heuristics, Multi-objective Optimization, Many-Objective Algorithms, and Machine Learning.�",,PhD
